 Sistema de Informação de Atenção Básica - Produção e Marcadores - Brasil
Atend.Pré-Natal por Município e Ano
Período:1998-2015
"Município";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"Total"
"150130 BARCARENA";867;1603;965;1008;1688;1362;1734;1100;3651;5111;3866;3747;3675;3902;4036;3984;4913;2247;49459
"150140 BELEM";206;1251;7049;18805;19786;21127;20764;15703;18863;14848;22811;22586;12045;9582;10449;12843;13021;11383;253122
"150145 BELTERRA";106;372;406;393;369;505;336;462;644;1263;1448;840;897;773;1691;926;619;472;12522
"150150 BENEVIDES";-;30;367;2324;1803;2613;3094;3256;2627;2573;4240;3907;3957;4743;4631;6155;6032;5801;58153
"150157 BOM JESUS DO TOCANTINS";-;355;381;542;537;390;455;985;905;435;436;456;734;1269;1291;1044;1010;863;12088
"150160 BONITO";-;-;-;-;5;233;147;7;146;822;614;497;943;557;956;1038;1151;1338;8454
"150170 BRAGANCA";5815;6180;8333;6014;4652;6912;7217;3901;4307;4438;4532;3543;3947;4075;4993;6330;7448;3008;95645
"150172 BRASIL NOVO";313;118;230;201;198;153;241;2923;10979;138759;3687;4250;3326;3534;2378;2273;1551;-;175114
"150175 BREJO GRANDE DO ARAGUAIA";130;-;242;402;463;398;576;667;902;687;538;968;661;663;1225;1026;863;845;11256
"150178 BREU BRANCO";-;-;122;676;1340;2635;530;4510;3995;3670;4273;3139;2589;2078;2928;4093;5395;2364;44337
"150180 BREVES";-;103;980;2392;3053;4253;3911;4743;3392;3369;4117;3185;4517;6883;3796;5642;4506;-;58842
"150190 BUJARU";850;1282;1558;733;1455;2319;1313;1013;1130;1108;755;605;1040;2167;1678;2081;1165;1179;23431
"150195 CACHOEIRA DO PIRIA";61;-;-;-;-;152;41;650;615;657;668;663;1283;1631;1699;2441;1818;1525;13904
"150200 CACHOEIRA DO ARARI";102;57;59;281;184;98;-;53;97;114;168;484;1233;381;412;2433;2999;370;9525
"150210 CAMETA";2780;-;534;2084;2336;2524;1691;1609;1518;2510;3673;3169;2790;1925;2819;2332;2688;2526;39508
"150215 CANAA DOS CARAJAS";-;-;270;650;404;1901;1909;2362;3133;3668;3716;2879;2579;3582;3586;4681;5493;-;40813
"150220 CAPANEMA";-;-;146;2008;4005;4681;4393;4480;4975;4294;5288;5030;5005;4710;11001;5337;5208;2281;72842
"150230 CAPITAO POCO";892;5;161;258;1134;450;1220;577;478;810;3140;2084;3858;3461;3703;3294;2852;3387;31764
"150240 CASTANHAL";318;798;2453;5820;6073;13924;14241;13055;13059;14076;15842;14869;14924;15030;14163;14731;7569;-;180945
"150250 CHAVES";-;-;-;-;-;-;102;174;164;112;161;268;410;317;620;292;1170;808;4598
"150260 COLARES";109;251;484;698;878;2360;646;837;485;507;719;660;610;812;743;851;1265;1151;14066
"150270 CONCEICAO DO ARAGUAIA";379;654;662;1468;2127;1368;1413;1770;2234;2450;2598;2836;2968;2960;3051;3546;3428;3969;39881
"150275 CONCORDIA DO PARA";27;65;3;186;802;2285;2450;746;737;466;229;476;1350;1419;2619;2270;1660;-;17790
"150276 CUMARU DO NORTE";14;-;33;155;141;209;192;202;558;534;841;515;402;594;383;540;753;443;6509
"150277 CURIONOPOLIS";-;-;-;602;1644;2045;939;2153;1692;1604;1815;2157;2076;2215;2373;2251;2266;2400;28232
"150280 CURRALINHO";889;1355;136;613;433;952;936;917;734;1260;564;551;164;119;69;151;315;374;10532
"150285 CURUA";-;184;595;386;477;32;542;565;1224;813;957;1156;356;313;610;1681;1894;1739;13524
"150290 CURUCA";-;309;-;521;1146;867;661;644;2548;1494;2876;2360;2668;2672;397;1033;2917;725;23838
"150293 DOM ELISEU";1638;2157;2761;1269;193;108;1784;2314;2529;4332;3189;3582;3612;4102;4205;4469;4583;4904;51731
"150295 ELDORADO DOS CARAJAS";-;-;909;1003;306;-;-;-;77;299;816;2178;7555;1285;1278;1503;735;462;18406
"150300 FARO";-;-;92;17;294;119;309;385;664;219;156;183;163;261;206;101;561;139;3869
"150304 FLORESTA DO ARAGUAIA";709;229;2326;907;861;812;852;828;1536;1696;1191;1807;1241;1302;1452;1686;2092;703;22230
"150307 GARRAFAO DO NORTE";385;590;588;721;1109;981;1129;987;1675;962;1128;688;99;984;1527;2151;2432;2564;20700
"150309 GOIANESIA DO PARA";-;-;372;335;139;143;307;973;1074;1338;929;929;1006;1538;927;531;375;637;11553
"150310 GURUPA";208;98;-;454;542;210;-;-;230;371;1142;878;1260;1440;2288;1960;1684;1629;14394
"150320 IGARAPE-ACU";62;347;379;545;532;522;1135;1389;1223;1473;1195;1352;2639;3236;3215;3774;3704;3548;30270
"150330 IGARAPE-MIRI";977;1140;1577;2786;2612;4421;2976;2874;3033;2262;2648;4023;5636;3967;4435;5946;5393;5822;62528
"150340 INHANGAPI";59;101;394;613;633;814;889;666;399;620;666;700;589;482;399;410;659;1028;10121
"150345 IPIXUNA DO PARA";10;516;-;387;1382;2128;2044;2469;2229;1546;2866;2482;2838;2416;2360;2057;2247;2438;32415
"150350 IRITUIA";1048;1387;1817;1817;1826;1995;1999;1858;1883;2206;2598;1223;768;2490;2388;2603;2374;2183;34463
