 Sistema de Informação de Atenção Básica - Situação de Saneamento - Brasil
Nº FamíliasAb água-rede públAb água-poço/nasc.Ab água-outrosLixo-coletadoLixo-queim/enterrLixo-céu abertoFez.Urina-esgotoFez.Urina-fossaFez.Urina-céu abTip.Casa TijoloTip.Casa TaipaRevTip.Casa TaipaÑRevTip.Casa MadeiraTip.Casa Mat.AprovTip.Casa OutrosTrat.Água FiltradaTrat.Água FervidaTrat.Água CloradaTrat.Água s/Trat.Energia ElétricaFam.Benef. do PBFFam. com CADÚnico por Município
Período:Dez/2015
"Município";"Nº_Famílias";"Ab_água-rede_públ";"Ab_água-poço/nasc.";"Ab_água-outros";"Lixo-coletado";"Lixo-queim/enterr";"Lixo-céu_aberto";"Fez.Urina-esgoto";"Fez.Urina-fossa";"Fez.Urina-céu_ab";"Tip.Casa_Tijolo";"Tip.Casa_TaipaRev";"Tip.Casa_TaipaÑRev";"Tip.Casa_Madeira";"Tip.Casa_Mat.Aprov";"Tip.Casa_Outros";"Trat.Água_Filtrada";"Trat.Água_Fervida";"Trat.Água_Clorada";"Trat.Água_s/Trat.";"Energia_Elétrica";"Fam.Benef._do_PBF";"Fam._com_CADÚnico"
"150375 JACAREACANGA";2298;749;1390;159;828;864;606;6;823;1469;239;460;67;1409;44;79;371;31;979;917;1730;499;454
"150380 JACUNDA";12549;721;11618;210;10280;1611;658;148;11656;745;3975;87;96;8344;33;14;3436;165;3937;5011;11850;545;531
"150400 LIMOEIRO DO AJURU";5340;1479;449;3412;1478;2780;1082;20;914;4406;223;2;21;5071;18;5;1218;297;2004;1821;3089;768;857
"150405 MAE DO RIO";6780;712;5950;118;5059;1094;627;1;6074;705;4342;152;264;1929;83;10;989;66;1422;4303;6575;1794;2178
"150410 MAGALHAES BARATA";1964;1931;30;3;1031;779;154;9;1548;407;1384;178;323;77;1;1;102;4;954;904;1942;621;622
"150420 MARABA";51667;19160;31436;1071;37299;10108;4260;2644;43165;5858;29855;587;358;20242;407;218;16478;1591;13249;20349;46088;-;-
"150460 MOCAJUBA";5027;2821;1776;430;3325;1337;365;46;3730;1251;1612;17;7;3338;41;12;608;133;3448;838;3823;89;19
"150470 MOJU";14541;2918;10504;1119;3948;8797;1796;307;9884;4350;2817;130;146;11135;171;142;2079;557;6668;5237;9212;522;425
"150480 MONTE ALEGRE";13747;6373;6032;1342;5648;7868;231;269;12906;572;5612;161;164;7574;76;160;2026;187;7030;4504;10587;5878;3381
"150490 MUANA";5341;2577;550;2214;2583;2090;668;17;1438;3886;426;12;13;4811;34;45;1263;76;2791;1211;3722;1546;396
